parent	child	score	class
CDC32_FIELD_VALUE	CDC16_FIELD_VALUE	0.6075809202463682	0
CDC32_FIELD_VALUE	CDC2_FIELD_VALUE	0.10392193517546927	0
CDC32_FIELD_VALUE	CDC45_FIELD_VALUE	0.542376018931121	0
CDC32_FIELD_VALUE	USER_ROLE_NAME	0.04657425777932541	0
CDC32_FIELD_VALUE	BUSINESS_UNIT_ID	0.6020324558609399	1
CDC32_FIELD_VALUE	PARENT_BU_ID	0.6024973251534395	0
CDC32_FIELD_VALUE	CDC34_FIELD_VALUE	0.6083922634157715	1
CDC32_FIELD_VALUE	CDC22_FIELD_VALUE	0.6083922634157718	0
CDC32_FIELD_VALUE	CDC14_FIELD_VALUE	0.5395169117027193	0
CDC32_FIELD_VALUE	COUNTRY	0.04808228462958631	0
CDC32_FIELD_VALUE	CDC20_FIELD_VALUE	0.6083922634157729	0
CDC32_FIELD_VALUE	CDC40_FIELD_VALUE	0.0482234319690636	0
CDC32_FIELD_VALUE	CDC48_FIELD_VALUE	0.6055124252049416	0
CDC32_FIELD_VALUE	CDC49_FIELD_VALUE	0.6083922634157711	0
CDC32_FIELD_VALUE	CDC23_FIELD_VALUE	0.6083922634157712	0
CDC32_FIELD_VALUE	CDC25_FIELD_VALUE	0.6083922634157712	1
CDC32_FIELD_VALUE	CDC15_FIELD_VALUE	0.5395169117027193	0
CDC32_FIELD_VALUE	MGR_EMPLOYEE_ID	0.6083922634157708	0
CDC32_FIELD_VALUE	CDC13_FIELD_VALUE	0.28337766660036423	0
CDC32_FIELD_VALUE	CDC26_FIELD_VALUE	0.6083922634157677	0
CDC32_FIELD_VALUE	CDC37_FIELD_VALUE	0.474428186931303	0
CDC32_FIELD_VALUE	CDC6_FIELD_VALUE	0.6083922634157665	0
CDC32_FIELD_VALUE	CDC50_FIELD_VALUE	0.6083922634157714	0
CDC3_FIELD_VALUE	CDC17_FIELD_VALUE	0.2668147702309768	0
CDC3_FIELD_VALUE	CDC32_FIELD_VALUE	0.046481706439146064	0
CDC3_FIELD_VALUE	BUSINESS_UNIT_DESC	0.20983491152583686	0
CDC3_FIELD_VALUE	CDC36_FIELD_VALUE	0.04648041669505962	0
CDC3_FIELD_VALUE	CDC33_FIELD_VALUE	0.6083922634157682	1
CDC3_FIELD_VALUE	CDC38_FIELD_VALUE	0.08165517307675058	0
CDC3_FIELD_VALUE	CDC39_FIELD_VALUE	0.047818100881248896	0
CDC3_FIELD_VALUE	WORK_CITY	0.0523934067440803	0
CDC3_FIELD_VALUE	CDC64_FIELD_VALUE	0.04648041669505962	0
CDC3_FIELD_VALUE	CDC19_FIELD_VALUE	0.32342179507817326	0
CDC3_FIELD_VALUE	PARENT_BU_CODE	0.11252235064861574	0
CDC3_FIELD_VALUE	HOME_COUNTRY_NAME	0.047203523507642654	0
CDC3_FIELD_VALUE	CDC18_FIELD_VALUE	0.3340709026049943	0
CDC3_FIELD_VALUE	BUSINESS_UNIT_CODE	0.21497297820435735	0
CDC3_FIELD_VALUE	CDC51_FIELD_VALUE	0.6083922634157715	0
CDC3_FIELD_VALUE	CDC35_FIELD_VALUE	0.04648041669505962	0
CDC3_FIELD_VALUE	CDC7_FIELD_VALUE	0.27319184572152727	0
CDC3_FIELD_VALUE	CDC12_FIELD_VALUE	0.046481888336685886	0
CDC3_FIELD_VALUE	CDC21_FIELD_VALUE	0.5443328840476391	0
CDC3_FIELD_VALUE	WORK_COUNTRY	0.05235213856601486	0
CDC3_FIELD_VALUE	CDC24_FIELD_VALUE	0.5853780693435731	0
CDC3_FIELD_VALUE	CDC43_FIELD_VALUE	0.0464888064637012	0
CDC3_FIELD_VALUE	CITY	0.07052908124866492	0
CDC3_FIELD_VALUE	CDC47_FIELD_VALUE	0.4603820444753414	0
CDC3_FIELD_VALUE	CDC4_FIELD_VALUE	0.09196496284641255	0
CDC3_FIELD_VALUE	CDC10_FIELD_VALUE	0.0486711355515712	0
CDC3_FIELD_VALUE	CDC28_FIELD_VALUE	0.04758852066280074	0
CDC3_FIELD_VALUE	CDC31_FIELD_VALUE	0.04648041669505962	0
CDC3_FIELD_VALUE	CDC30_FIELD_VALUE	0.046516537029366825	0
CDC3_FIELD_VALUE	STATE	0.04825129576662501	0
CDC3_FIELD_VALUE	CDC1_FIELD_VALUE	0.6083922634157747	1
CDC3_FIELD_VALUE	CDC46_FIELD_VALUE	0.2478089699710444	0
CDC3_FIELD_VALUE	PARENT_BU_DESC	0.11248394684774483	0
CDC3_FIELD_VALUE	CDC8_FIELD_VALUE	0.046481706439146064	0
CDC3_FIELD_VALUE	TEST_USER_FLAG	0.04648041669505962	0
CDC3_FIELD_VALUE	CDC11_FIELD_VALUE	0.08685341841636755	0
CDC3_FIELD_VALUE	CDC5_FIELD_VALUE	0.09187799009187166	0
CDC3_FIELD_VALUE	CDC27_FIELD_VALUE	0.553579685161134	0
CDC3_FIELD_VALUE	CDC44_FIELD_VALUE	0.04959717833118591	0
CDC3_FIELD_VALUE	CDC16_FIELD_VALUE	0.2760650955777837	0
CDC3_FIELD_VALUE	CDC2_FIELD_VALUE	0.05310044020688093	0
CDC3_FIELD_VALUE	CDC45_FIELD_VALUE	0.06904444997594117	0
CDC3_FIELD_VALUE	USER_ROLE_NAME	0.046517557308496355	0
CDC3_FIELD_VALUE	BUSINESS_UNIT_ID	0.21497297820435735	0
CDC3_FIELD_VALUE	PARENT_BU_ID	0.11252235064861574	0
CDC3_FIELD_VALUE	CDC34_FIELD_VALUE	0.0486711355515712	0
CDC3_FIELD_VALUE	CDC22_FIELD_VALUE	0.6083922634157718	0
CDC3_FIELD_VALUE	CDC14_FIELD_VALUE	0.05381298096641808	0
CDC3_FIELD_VALUE	COUNTRY	0.047203523507642654	0
CDC3_FIELD_VALUE	CDC20_FIELD_VALUE	0.6017672017900656	0
CDC3_FIELD_VALUE	CDC40_FIELD_VALUE	0.04715283604894852	0
CDC3_FIELD_VALUE	CDC48_FIELD_VALUE	0.5027468094716447	0
CDC3_FIELD_VALUE	CDC49_FIELD_VALUE	0.5491432252180993	0
CDC3_FIELD_VALUE	CDC25_FIELD_VALUE	0.5887670808641475	0
CDC3_FIELD_VALUE	CDC23_FIELD_VALUE	0.5887670808641475	0
CDC3_FIELD_VALUE	CDC15_FIELD_VALUE	0.05381298096641808	0
CDC3_FIELD_VALUE	MGR_EMPLOYEE_ID	0.5734885096297596	0
CDC3_FIELD_VALUE	CDC13_FIELD_VALUE	0.046481888336685886	0
CDC3_FIELD_VALUE	CDC26_FIELD_VALUE	0.6083922634157677	0
CDC3_FIELD_VALUE	CDC37_FIELD_VALUE	0.08685341841636755	0
CDC3_FIELD_VALUE	CDC6_FIELD_VALUE	0.2788187345545311	0
CDC3_FIELD_VALUE	CDC50_FIELD_VALUE	0.6083922634157714	0
BUSINESS_UNIT_DESC	CDC17_FIELD_VALUE	0.5603647639099472	0
BUSINESS_UNIT_DESC	CDC32_FIELD_VALUE	0.04618654603506872	0
BUSINESS_UNIT_DESC	CDC3_FIELD_VALUE	0.538671984261257	0
BUSINESS_UNIT_DESC	CDC36_FIELD_VALUE	0.04648041669505962	0
BUSINESS_UNIT_DESC	CDC33_FIELD_VALUE	0.5457894884793388	0
BUSINESS_UNIT_DESC	CDC38_FIELD_VALUE	0.10898399032439916	0
BUSINESS_UNIT_DESC	CDC39_FIELD_VALUE	0.04927344893390559	0
BUSINESS_UNIT_DESC	WORK_CITY	0.22881661287909794	0
BUSINESS_UNIT_DESC	CDC64_FIELD_VALUE	0.04648041669505962	0
BUSINESS_UNIT_DESC	CDC19_FIELD_VALUE	0.5812746587065525	0
BUSINESS_UNIT_DESC	PARENT_BU_CODE	0.11842071754552563	0
BUSINESS_UNIT_DESC	HOME_COUNTRY_NAME	0.04720519784653243	0
BUSINESS_UNIT_DESC	CDC18_FIELD_VALUE	0.6083922634157695	0
BUSINESS_UNIT_DESC	BUSINESS_UNIT_CODE	0.6083922634157699	1
BUSINESS_UNIT_DESC	CDC51_FIELD_VALUE	0.6083922634157715	0
BUSINESS_UNIT_DESC	CDC35_FIELD_VALUE	0.04648041669505962	0
BUSINESS_UNIT_DESC	CDC7_FIELD_VALUE	0.42170317916001204	0
BUSINESS_UNIT_DESC	CDC12_FIELD_VALUE	0.04648930599556015	0
BUSINESS_UNIT_DESC	CDC21_FIELD_VALUE	0.5550160517997441	0
BUSINESS_UNIT_DESC	WORK_COUNTRY	0.052423064560357724	0
BUSINESS_UNIT_DESC	CDC24_FIELD_VALUE	0.6083922634157743	0
BUSINESS_UNIT_DESC	CDC43_FIELD_VALUE	0.04650132877265669	0
BUSINESS_UNIT_DESC	CITY	0.11069385951809478	0
BUSINESS_UNIT_DESC	CDC47_FIELD_VALUE	0.5656492302544885	0
BUSINESS_UNIT_DESC	CDC4_FIELD_VALUE	0.2642489981231641	0
BUSINESS_UNIT_DESC	CDC10_FIELD_VALUE	0.059027608210187425	0
BUSINESS_UNIT_DESC	CDC28_FIELD_VALUE	0.05340060270386096	0
BUSINESS_UNIT_DESC	CDC31_FIELD_VALUE	0.04648041669505962	0
BUSINESS_UNIT_DESC	CDC30_FIELD_VALUE	0.046516537029366825	0
BUSINESS_UNIT_DESC	STATE	0.05254407767769224	0
BUSINESS_UNIT_DESC	CDC1_FIELD_VALUE	0.6083922634157747	0
BUSINESS_UNIT_DESC	CDC46_FIELD_VALUE	0.4475769688320948	0
BUSINESS_UNIT_DESC	PARENT_BU_DESC	0.11697627221040245	0
BUSINESS_UNIT_DESC	CDC8_FIELD_VALUE	0.04618654603506872	0
BUSINESS_UNIT_DESC	TEST_USER_FLAG	0.04648041669505962	0
BUSINESS_UNIT_DESC	CDC11_FIELD_VALUE	0.201493615412652	0
BUSINESS_UNIT_DESC	CDC5_FIELD_VALUE	0.23468412613684872	0
BUSINESS_UNIT_DESC	CDC27_FIELD_VALUE	0.57514168124411	0
BUSINESS_UNIT_DESC	CDC44_FIELD_VALUE	0.05855494401230271	0
BUSINESS_UNIT_DESC	CDC16_FIELD_VALUE	0.6083922634157705	0
BUSINESS_UNIT_DESC	CDC2_FIELD_VALUE	0.09553164845298275	0
BUSINESS_UNIT_DESC	CDC45_FIELD_VALUE	0.19191285019427876	0
BUSINESS_UNIT_DESC	USER_ROLE_NAME	0.046571585752467955	0
BUSINESS_UNIT_DESC	BUSINESS_UNIT_ID	0.6083922634157699	1
BUSINESS_UNIT_DESC	PARENT_BU_ID	0.11842071754552563	0
BUSINESS_UNIT_DESC	CDC34_FIELD_VALUE	0.059027608210187425	0
BUSINESS_UNIT_DESC	CDC22_FIELD_VALUE	0.6083922634157718	0
BUSINESS_UNIT_DESC	CDC14_FIELD_VALUE	0.0621794304252363	0
BUSINESS_UNIT_DESC	COUNTRY	0.04720519784653243	0
