ratio	size	actual	score
1.0	1.0	0	0.5692498099858423
1.0	1.0	1	0.5692498099858423
1.0	1.0	0	0.5692498099858423
1.0	1.0	1	0.5692498099858423
1.0	1.0	1	0.5692498099858423
1.0	1.0	1	0.5692498099858423
1.0	1.0	1	0.5692498099858423
1.0	1.0	1	0.5692498099858423
1.0	1.0	1	0.5692498099858423
1.0	1.0	1	0.5692498099858423
1.0	1.0	1	0.5692498099858423
1.0	1.0	1	0.5692498099858423
1.0	1.0	1	0.5692498099858423
1.0	1.0	1	0.5692498099858423
1.0	1.0	0	0.5692498099858423
1.0	1.0	1	0.5692498099858423
0.8	5.0	1	0.524456596226086
0.7142857142857143	7.0	1	0.5196477603868873
1.0	127.0	0	0.5184497033884136
1.0	46.0	1	0.5184497033884136
1.0	111.0	0	0.5184497033884136
1.0	170.0	0	0.5184497033884136
1.0	64.0	1	0.5184497033884136
1.0	170.0	0	0.5184497033884136
1.0	72.0	1	0.5184497033884136
1.0	160.0	1	0.5184497033884136
1.0	152.0	0	0.5184497033884136
1.0	49.0	1	0.5184497033884136
1.0	39.0	1	0.5184497033884136
1.0	57.0	1	0.5184497033884136
1.0	111.0	0	0.5184497033884136
1.0	38.0	1	0.5184497033884133
1.0	37.0	0	0.5184497033884132
1.0	32.0	1	0.5184497033883667
1.0	30.0	1	0.5184497033880555
1.0	28.0	0	0.5184497033856774
1.0	27.0	1	0.5184497033808501
1.0	26.0	0	0.5184497033675075
1.0	25.0	0	0.5184497033306359
1.0	25.0	0	0.5184497033306359
1.0	25.0	0	0.5184497033306359
1.0	24.0	1	0.5184497032287598
1.0	21.0	0	0.5184497000247374
1.0	21.0	0	0.5184497000247374
1.0	21.0	0	0.5184497000247374
1.0	21.0	0	0.5184497000247374
1.0	20.0	1	0.5184496941047891
1.0	20.0	1	0.5184496941047891
1.0	18.0	1	0.5184496327914544
1.0	18.0	1	0.5184496327914544
1.0	17.0	1	0.5184495089365939
1.0	17.0	1	0.5184495089365939
1.0	17.0	0	0.5184495089365939
1.0	16.0	0	0.518449168364506
1.0	16.0	1	0.518449168364506
1.0	16.0	0	0.518449168364506
1.0	15.0	1	0.5184482333090537
1.0	14.0	0	0.5184456711307283
1.0	14.0	0	0.5184456711307283
1.0	14.0	0	0.5184456711307283
1.0	14.0	0	0.5184456711307283
1.0	13.0	1	0.518438668218938
1.0	13.0	0	0.518438668218938
1.0	13.0	0	0.518438668218938
1.0	13.0	0	0.518438668218938
1.0	13.0	0	0.518438668218938
1.0	12.0	0	0.5184195907548357
1.0	12.0	1	0.5184195907548357
1.0	12.0	1	0.5184195907548357
1.0	12.0	0	0.5184195907548357
1.0	12.0	0	0.5184195907548357
1.0	12.0	1	0.5184195907548357
1.0	11.0	0	0.5183678417084436
1.0	11.0	1	0.5183678417084436
1.0	11.0	1	0.5183678417084436
1.0	11.0	1	0.5183678417084436
1.0	11.0	0	0.5183678417084436
1.0	11.0	1	0.5183678417084436
1.0	11.0	1	0.5183678417084436
1.0	11.0	0	0.5183678417084436
1.0	10.0	0	0.5182282574484852
1.0	10.0	0	0.5182282574484852
1.0	10.0	1	0.5182282574484852
1.0	10.0	0	0.5182282574484852
1.0	10.0	1	0.5182282574484852
1.0	10.0	0	0.5182282574484852
1.0	9.0	0	0.5178545725896714
1.0	9.0	1	0.5178545725896714
1.0	9.0	0	0.5178545725896714
1.0	9.0	0	0.5178545725896714
1.0	9.0	1	0.5178545725896714
1.0	9.0	1	0.5178545725896714
1.0	9.0	1	0.5178545725896714
1.0	9.0	1	0.5178545725896714
1.0	9.0	0	0.5178545725896714
1.0	9.0	1	0.5178545725896714
1.0	8.0	0	0.5168643736543872
1.0	8.0	1	0.5168643736543872
1.0	8.0	1	0.5168643736543872
1.0	8.0	1	0.5168643736543872
1.0	8.0	1	0.5168643736543872
1.0	8.0	1	0.5168643736543872
1.0	8.0	0	0.5168643736543872
